PERIODO,CCAA,DESEMPLEO,DESEMPLEO HOMBRES,DESEMPLEO MUJERES,SUICIDIOS,SUICIDIOS HOMBRES,SUICIDIOS MUJERES,PIB
2012," Madrid, Comunidad de",18.53,13.4,17.91,179.0,139.0,40.0,32025.0
2013," Madrid, Comunidad de",19.76,11.88,20.35,159.0,112.0,47.0,31490.0
2014," Madrid, Comunidad de",18.75,13.59,19.6,219.0,169.0,50.0,30124.0
2015," Madrid, Comunidad de",17.06,11.6,17.33,257.0,192.0,65.0,28036.0
2016," Madrid, Comunidad de",15.71,9.78,16.46,304.0,222.0,82.0,26439.0
2017," Madrid, Comunidad de",13.34,3.12,13.93,279.0,201.0,78.0,25053.0
2018," Madrid, Comunidad de",12.22,3.43,12.85,267.0,192.0,75.0,24023.0
2019," Madrid, Comunidad de",10.62,3.23,11.48,251.0,183.0,68.0,23049.0
2020," Madrid, Comunidad de",12.5,4.16,13.45,223.0,174.0,49.0,21380.0
2000," Murcia, Región de",54.43,4.27,19.92,122.0,101.0,21.0,19838.0
2001," Murcia, Región de",53.92,4.39,17.14,125.0,101.0,24.0,21596.0
2002," Murcia, Región de",11.3,4.16,16.31,127.0,94.0,33.0,21024.0
2003," Murcia, Región de",10.79,3.14,15.72,98.0,82.0,16.0,20724.0
2004," Murcia, Región de",10.73,5.64,15.87,119.0,93.0,26.0,19997.0
2005," Murcia, Región de",8.04,9.99,11.42,106.0,78.0,28.0,19462.0
2006," Murcia, Región de",7.88,11.5,10.83,106.0,71.0,35.0,18260.0
2007," Murcia, Región de",7.54,12.57,9.93,102.0,78.0,24.0,18181.0
2008," Murcia, Región de",12.43,16.68,13.14,106.0,86.0,20.0,18141.0
2009," Murcia, Región de",20.33,17.16,18.49,116.0,93.0,23.0,18641.0
2010," Murcia, Región de",22.86,15.48,22.43,90.0,71.0,19.0,19164.0
2011," Murcia, Región de",24.98,12.68,24.95,97.0,82.0,15.0,19103.0
2012," Murcia, Región de",27.62,10.93,27.37,115.0,86.0,29.0,20327.0
2013," Murcia, Región de",28.98,7.74,29.52,101.0,85.0,16.0,19920.0
2014," Murcia, Región de",26.58,9.09,29.12,124.0,99.0,25.0,18966.0
2015," Murcia, Región de",24.62,7.4,28.42,101.0,82.0,19.0,17871.0
2016," Murcia, Región de",19.78,9.99,23.01,120.0,94.0,26.0,16853.0
2017," Murcia, Región de",18.03,11.89,21.57,95.0,78.0,17.0,16071.0
2018," Murcia, Región de",16.76,10.04,20.98,99.0,76.0,23.0,15223.0
2019," Murcia, Región de",14.68,7.48,18.22,90.0,68.0,22.0,14383.0
2020," Murcia, Región de",16.17,6.29,19.46,112.0,85.0,27.0,13364.0
2000," Navarra, Comunidad Foral de",55.39,6.44,9.77,44.0,32.0,12.0,29314.0
2001," Navarra, Comunidad Foral de",55.35,7.32,7.16,46.0,34.0,12.0,32030.0
