Comunidad autónoma de residencia;Nivel de ingresos del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2008;79,46
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2007;76,9
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2006;76,03
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2020;144.081.315,66
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2019;158.553.962,57
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2018;159.826.626,9
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2017;166.365.497,81
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2016;168.148.506,45
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2015;168.415.833,47
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2014;169.181.722,75
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2013;166.963.550,33
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2012;167.958.707,84
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2011;167.416.490,92
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2010;179.081.669,12
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2009;160.882.002,73
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2008;162.362.393,59
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2007;165.728.833,38
Total Nacional;De 1.000 a 1.999 euros;Gasto total;2006;179.022.601,36
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2020;28,64
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2019;28,22
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2018;28,92
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2017;31,02
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2016;32,59
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2015;33,71
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2014;34,45
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2013;34,05
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2012;33,13
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2011;32,48
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2010;34,74
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2009;30,97
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2008;30,27
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2007;31,76
Total Nacional;De 1.000 a 1.999 euros;Distribución porcentual;2006;36,81
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2020;22.318,28
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2019;24.087,16
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2018;24.473,36
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2017;24.347,41
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2016;24.172,34
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2015;23.980,82
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2014;24.102,77
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2013;24.045,33
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2012;24.780,49
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2011;25.186,01
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2010;25.641,79
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2009;25.720,87
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2008;26.566,95
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2007;27.429,8
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por hogar;2006;27.653,81
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2020;10.025,09
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2019;10.632,91
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2018;10.633,31
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2017;10.421,42
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2016;10.250,16
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2015;10.037,1
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2014;9.941,67
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2013;9.777,61
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2012;9.986,57
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2011;10.012,32
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2010;10.080,38
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2009;10.086,59
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2008;10.460,81
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2007;10.469,86
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por persona;2006;10.078,16
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2020;14.294,29
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2019;15.263,95
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2018;15.343,64
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2017;15.129,14
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2016;14.927,04
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2015;14.681,08
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2014;14.614,75
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2013;14.433,58
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2012;14.799,3
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2011;14.910,3
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2010;15.069,81
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2009;15.087,39
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2008;15.642,87
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2007;15.825,1
Total Nacional;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2006;15.441,59
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2020;92,13
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2019;87,38
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2018;88,29
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2017;88,65
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2016;90,37
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2015;91,07
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2014;92
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2013;90,81
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2012;90,37
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2011;88,62
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2010;89,36
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2009;88,22
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2008;87,92
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2007;88,96
Total Nacional;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2006;90,42
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2020;137.110.862,8
Total Nacional;De 2.000 a 2.999 euros;Gasto total;2019;173.792.010,33
