Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2000	26
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2020	228
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2019	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2018	213
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2017	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2016	215
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2015	224
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2014	240
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2013	210
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2012	200
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2011	182
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2010	216
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2009	221
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2008	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2007	217
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2006	194
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2005	191
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2004	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2003	241
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2002	220
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2001	208
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2000	241
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2020	180
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2019	152
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2018	132
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2017	157
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2016	135
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2015	167
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2014	190
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2013	184
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2012	163
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2011	145
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2010	141
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2009	157
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2008	155
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2007	141
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2006	141
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2005	152
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2004	171
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2003	149
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2002	143
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2001	134
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2000	145
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2020	556
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2019	535
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2018	522
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2017	504
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2016	510
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2015	495
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2014	531
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2013	544
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2012	526
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2011	478
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2010	418
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2009	440
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2008	425
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2007	377
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2006	381
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2005	425
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2004	485
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2003	470
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2002	500
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2001	488
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	09 Cataluña	2000	471
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2020	440
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2019	450
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2018	396
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2017	397
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2016	336
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2015	348
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2014	380
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2013	399
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2012	406
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2011	332
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2010	400
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2009	381
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2008	371
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2007	396
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2006	363
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2005	388
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2004	358
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2003	362
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2002	300
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2001	338
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	10 Comunitat Valenciana	2000	355
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2020	92
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2019	79
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2018	70
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2017	77
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2016	82
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2015	58
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2014	63
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2013	74
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2012	76
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2011	70
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2010	81
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2009	73
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2008	78
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2007	74
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	11 Extremadura	2006	70
